,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,2233,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,4031,781,115,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,6592,1534,596,260,113,59,12,0,0,0,0,0,0,0,0,0,0,0
0.6,5888,1594,672,275,144,72,56,56,21,0,0,0,0,0,0,0,0,0
0.7,4595,958,264,103,43,25,8,8,8,5,0,0,0,0,0,0,0,0
0.8,5585,1176,451,130,69,47,24,4,0,0,0,0,0,0,0,0,0,0
0.9,5725,1790,884,535,307,209,171,127,93,71,51,36,26,12,2,0,0,0
1,10068,2878,1009,595,415,292,166,144,106,59,49,39,33,24,17,10,3,0
1.1,10938,2697,1217,518,297,146,68,48,34,30,22,15,6,6,6,6,6,3
1.2,9187,2095,924,275,156,92,56,8,0,0,0,0,0,0,0,0,0,0
1.3,5620,941,397,161,49,34,24,24,0,0,0,0,0,0,0,0,0,0
1.4,2982,463,124,48,16,8,4,0,0,0,0,0,0,0,0,0,0,0
1.5,1451,223,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6,820,91,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7,395,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,142,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
